land_area_acres,annual_rainfall_mm,average_temperature_c,soil_type,soil_ph,water_availability,land_status,recommended_crop
59.34,1165,26.4,Sandy Loam,6.3,Rain-fed,Degraded,Acacia auriculiformis
11.12,932,22.1,Sandy Loam,5.8,Seasonal Canal,Barren,Acacia auriculiformis
46.48,802,27.2,Red,6.7,Rain-fed,Cultivated,Karanja (Pongamia pinnata)
58.16,682,17.9,Clay Loam,7.1,Borewell,Barren,Siris (Albizia lebbeck)
85.68,1577,23.8,Clay,5.6,Rain-fed,Cultivated,Babul (Acacia nilotica)
36.17,1464,29.5,Clay Loam,6.5,Seasonal Canal,Barren,Siris (Albizia lebbeck)
46.76,1850,22.6,Red,7,Seasonal Canal,Degraded,Karanja (Pongamia pinnata)
82.36,1664,32.6,Loam,7.1,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
32.15,1067,23.2,Alluvial,7.4,Borewell,Cultivated,Shisham (Dalbergia sissoo)
74.75,679,23.5,Black,6.5,Borewell,Fallow,Teak (Tectona grandis)
22.71,1098,23.1,Sandy Loam,6.7,Rain-fed,Cultivated,Acacia auriculiformis
16.84,786,15.5,Alluvial,6.2,Borewell,Cultivated,Shisham (Dalbergia sissoo)
53.38,1265,25.8,Loam,6.7,Borewell,Barren,Neem (Azadirachta indica)
77.09,2476,21.7,Alluvial,7.3,Seasonal Canal,Barren,Shisham (Dalbergia sissoo)
87.71,1445,22.4,Alluvial,6,Seasonal Canal,Degraded,Shisham (Dalbergia sissoo)
51.26,1067,21.3,Clay Loam,6.9,Rain-fed,Degraded,Siris (Albizia lebbeck)
91.93,615,26.5,Red,6.7,Borewell,Fallow,Karanja (Pongamia pinnata)
24.71,309,23.5,Sandy Loam,6.2,Borewell,Barren,Acacia auriculiformis
76.82,774,19.9,Alluvial,6.1,Rain-fed,Cultivated,Shisham (Dalbergia sissoo)
96.47,684,23.2,Loam,7.3,Borewell,Degraded,Neem (Azadirachta indica)
44.37,819,22.8,Sandy Loam,6.8,Borewell,Cultivated,Acacia auriculiformis
55.84,526,17.2,Alluvial,6.6,Seasonal Canal,Degraded,Shisham (Dalbergia sissoo)
90.64,972,27.7,Clay,5.1,Seasonal Canal,Barren,Babul (Acacia nilotica)
14.1,721,23.3,Clay Loam,6.7,Borewell,Cultivated,Siris (Albizia lebbeck)
10.6,901,27.6,Black,6.5,Seasonal Canal,Fallow,Teak (Tectona grandis)
65.69,560,23.6,Alluvial,7.5,Seasonal Canal,Barren,Shisham (Dalbergia sissoo)
25.62,1312,27.8,Clay,6.6,Rain-fed,Cultivated,Babul (Acacia nilotica)
44.87,716,20.2,Loam,6.4,Borewell,Barren,Neem (Azadirachta indica)
92.71,1567,30,Clay,6.7,Rain-fed,Degraded,Babul (Acacia nilotica)
17.3,598,23.8,Black,7.7,Borewell,Cultivated,Teak (Tectona grandis)
69.96,1948,31.8,Clay Loam,6.7,Borewell,Degraded,Siris (Albizia lebbeck)
54.68,651,24,Sandy Loam,5.6,Borewell,Fallow,Acacia auriculiformis
16.59,951,26.7,Loam,6,Borewell,Barren,Neem (Azadirachta indica)
40.97,535,25.1,Loam,6.9,Seasonal Canal,Degraded,Neem (Azadirachta indica)
58.78,1808,20.6,Sandy Loam,5.7,Seasonal Canal,Fallow,Acacia auriculiformis
13.96,842,31,Loam,6.1,Borewell,Fallow,Neem (Azadirachta indica)
46.37,461,34.1,Sandy,7.4,Seasonal Canal,Barren,Khejri (Prosopis cineraria)
88.21,675,17.1,Clay Loam,6.5,Rain-fed,Fallow,Siris (Albizia lebbeck)
61.56,1161,26.6,Clay Loam,6.8,Borewell,Barren,Siris (Albizia lebbeck)
27.18,2135,24.5,Loam,6.8,Rain-fed,Degraded,Neem (Azadirachta indica)
69.06,1288,29.1,Loam,7.1,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
42.93,1927,33.6,Alluvial,6.1,Seasonal Canal,Barren,Shisham (Dalbergia sissoo)
17,1241,28.2,Clay Loam,6.3,Seasonal Canal,Cultivated,Siris (Albizia lebbeck)
90.49,604,21.3,Clay Loam,7.4,Borewell,Barren,Siris (Albizia lebbeck)
90,601,25.2,Loam,5.6,Rain-fed,Fallow,Neem (Azadirachta indica)
88.53,849,24.5,Sandy Loam,5.8,Seasonal Canal,Degraded,Acacia auriculiformis
88.26,942,23.3,Black,7.5,Rain-fed,Degraded,Teak (Tectona grandis)
86.54,840,27.4,Red,6.3,Rain-fed,Fallow,Karanja (Pongamia pinnata)
86,903,26.4,Loam,6.3,Rain-fed,Degraded,Neem (Azadirachta indica)
23.07,479,26,Sandy,7.1,Seasonal Canal,Degraded,Khejri (Prosopis cineraria)
35.76,518,21.3,Loam,6.1,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
18.68,2098,25,Alluvial,5.6,Seasonal Canal,Barren,Shisham (Dalbergia sissoo)
44.2,705,19.3,Clay Loam,7.3,Borewell,Barren,Siris (Albizia lebbeck)
1.17,645,20.3,Loam,6.1,Borewell,Degraded,Neem (Azadirachta indica)
62.69,891,20.8,Loam,6.5,Borewell,Barren,Neem (Azadirachta indica)
40.84,807,24.1,Sandy Loam,6.8,Seasonal Canal,Degraded,Acacia auriculiformis
90.38,715,30.3,Sandy Loam,6.4,Borewell,Fallow,Acacia auriculiformis
43.56,630,28,Black,6.6,Borewell,Fallow,Teak (Tectona grandis)
79.58,526,27.7,Sandy Loam,5.9,Seasonal Canal,Degraded,Acacia auriculiformis
34.18,1173,24.3,Clay Loam,6.8,Rain-fed,Fallow,Siris (Albizia lebbeck)
98.41,912,23.8,Black,5.6,Borewell,Barren,Teak (Tectona grandis)
69.94,512,33.5,Red,6.7,Seasonal Canal,Cultivated,Karanja (Pongamia pinnata)
78.06,575,30.2,Black,5.5,Borewell,Degraded,Teak (Tectona grandis)
46.19,1030,23.6,Loam,6.6,Seasonal Canal,Fallow,Neem (Azadirachta indica)
83.23,613,32.6,Sandy Loam,7.3,Borewell,Cultivated,Acacia auriculiformis
84.15,880,28.3,Loam,6.4,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
24.21,1489,24.1,Alluvial,5.7,Seasonal Canal,Fallow,Shisham (Dalbergia sissoo)
16.13,641,21.7,Clay Loam,6.3,Rain-fed,Barren,Siris (Albizia lebbeck)
21.48,558,22,Black,6.9,Seasonal Canal,Cultivated,Teak (Tectona grandis)
38.66,2168,30.4,Sandy Loam,7.2,Rain-fed,Fallow,Acacia auriculiformis
54.28,1771,25.8,Clay Loam,7.3,Rain-fed,Cultivated,Siris (Albizia lebbeck)
67.22,639,27.1,Loam,5.6,Seasonal Canal,Degraded,Neem (Azadirachta indica)
59.6,365,34.7,Sandy Loam,6.6,Seasonal Canal,Barren,Acacia auriculiformis
5.98,729,19.3,Loam,7.6,Seasonal Canal,Fallow,Neem (Azadirachta indica)
28.55,732,25.6,Loam,7.4,Seasonal Canal,Fallow,Neem (Azadirachta indica)
23.2,640,15.2,Clay Loam,7,Rain-fed,Barren,Siris (Albizia lebbeck)
24.62,1153,23.6,Clay,5,Seasonal Canal,Barren,Babul (Acacia nilotica)
17.61,2170,23.3,Loam,6.9,Rain-fed,Degraded,Neem (Azadirachta indica)
68.06,1110,28.7,Alluvial,7.4,Seasonal Canal,Cultivated,Shisham (Dalbergia sissoo)
25.04,703,18.9,Red,6.9,Borewell,Fallow,Karanja (Pongamia pinnata)
78.48,2229,32.1,Clay Loam,7.1,Seasonal Canal,Cultivated,Siris (Albizia lebbeck)
85.11,1758,21,Loam,6.8,Borewell,Barren,Neem (Azadirachta indica)
16.15,535,25.6,Alluvial,7.7,Borewell,Fallow,Shisham (Dalbergia sissoo)
44.12,2027,33.8,Loam,7,Seasonal Canal,Fallow,Neem (Azadirachta indica)
25.14,925,34.1,Loam,6.2,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
22,479,25.9,Loam,6,Seasonal Canal,Fallow,Neem (Azadirachta indica)
2,1901,28.9,Alluvial,7.3,Rain-fed,Barren,Shisham (Dalbergia sissoo)
69.37,868,26.7,Black,6.9,Borewell,Cultivated,Teak (Tectona grandis)
25.09,308,23.2,Red,5.9,Seasonal Canal,Fallow,Karanja (Pongamia pinnata)
55.49,583,28.9,Red,6.4,Seasonal Canal,Cultivated,Karanja (Pongamia pinnata)
32.24,1313,23.8,Loam,6.2,Borewell,Degraded,Neem (Azadirachta indica)
97.68,610,31.3,Sandy Loam,6.2,Borewell,Fallow,Acacia auriculiformis
30.92,826,16.9,Loam,6.4,Borewell,Degraded,Neem (Azadirachta indica)
94.46,1046,34.6,Alluvial,6.8,Borewell,Cultivated,Shisham (Dalbergia sissoo)
44.61,846,15.1,Clay Loam,6.5,Rain-fed,Barren,Siris (Albizia lebbeck)
40.67,1963,32.9,Loam,6.2,Rain-fed,Barren,Neem (Azadirachta indica)
99.4,576,27.7,Loam,7.4,Borewell,Cultivated,Neem (Azadirachta indica)
38.66,1810,31.9,Sandy Loam,6,Borewell,Fallow,Acacia auriculiformis
96.05,1639,24.6,Sandy Loam,6.7,Rain-fed,Degraded,Acacia auriculiformis
18.21,1432,24,Loam,5.7,Rain-fed,Degraded,Neem (Azadirachta indica)
4.23,1318,25.6,Clay Loam,6.2,Seasonal Canal,Fallow,Siris (Albizia lebbeck)
78.99,964,18.9,Sandy Loam,6,Borewell,Degraded,Acacia auriculiformis
82.84,408,24.5,Loam,7.3,Borewell,Barren,Neem (Azadirachta indica)
92.2,905,21.7,Alluvial,7,Seasonal Canal,Barren,Shisham (Dalbergia sissoo)
50.55,652,26,Sandy Loam,6.3,Seasonal Canal,Cultivated,Acacia auriculiformis
60.77,706,15.4,Clay Loam,6.8,Rain-fed,Barren,Siris (Albizia lebbeck)
95.13,992,30.4,Sandy Loam,7.7,Borewell,Fallow,Acacia auriculiformis
65.5,1241,31.4,Sandy Loam,5.9,Seasonal Canal,Degraded,Acacia auriculiformis
47.53,1646,29.5,Red,6.5,Borewell,Fallow,Karanja (Pongamia pinnata)
50.05,557,30.3,Red,6,Seasonal Canal,Cultivated,Karanja (Pongamia pinnata)
12.48,618,25.5,Loam,6.5,Seasonal Canal,Barren,Neem (Azadirachta indica)
36.82,2111,26.9,Clay Loam,5.6,Borewell,Cultivated,Siris (Albizia lebbeck)
44.37,1108,24.1,Clay Loam,5.3,Borewell,Cultivated,Siris (Albizia lebbeck)
71.27,414,24.7,Loam,7.1,Seasonal Canal,Barren,Neem (Azadirachta indica)
46.68,808,21.1,Black,7.5,Rain-fed,Degraded,Teak (Tectona grandis)
83.64,666,25.8,Sandy Loam,6.9,Seasonal Canal,Degraded,Acacia auriculiformis
51.32,582,23.9,Red,5.9,Borewell,Barren,Karanja (Pongamia pinnata)
27.45,1791,31.9,Alluvial,6.6,Rain-fed,Fallow,Shisham (Dalbergia sissoo)
49.47,805,28,Red,6.7,Rain-fed,Cultivated,Karanja (Pongamia pinnata)
38.34,847,24.1,Clay Loam,6.8,Seasonal Canal,Degraded,Siris (Albizia lebbeck)
5.32,744,24.9,Sandy Loam,6,Borewell,Cultivated,Acacia auriculiformis
98.1,890,22.6,Red,6.8,Seasonal Canal,Barren,Karanja (Pongamia pinnata)
87.54,757,29.6,Loam,6.2,Seasonal Canal,Barren,Neem (Azadirachta indica)
87.22,1066,25.5,Loam,7.1,Rain-fed,Barren,Neem (Azadirachta indica)
40.35,700,34.6,Red,6.2,Rain-fed,Fallow,Karanja (Pongamia pinnata)
88.86,2092,25.7,Clay Loam,6.1,Borewell,Barren,Siris (Albizia lebbeck)
99.75,1270,23.5,Loam,6.9,Borewell,Barren,Neem (Azadirachta indica)
44.92,400,27.1,Black,7.4,Seasonal Canal,Fallow,Teak (Tectona grandis)
38.11,947,24.6,Clay Loam,5.1,Rain-fed,Degraded,Siris (Albizia lebbeck)
18.33,810,26.8,Black,7.2,Borewell,Cultivated,Teak (Tectona grandis)
23.99,1899,23.6,Red,7.3,Seasonal Canal,Cultivated,Karanja (Pongamia pinnata)
68.08,1682,20.1,Clay Loam,7.2,Rain-fed,Barren,Siris (Albizia lebbeck)
69.34,476,34.8,Sandy Loam,6.1,Seasonal Canal,Fallow,Acacia auriculiformis
57.62,696,32.9,Loam,5.8,Borewell,Fallow,Neem (Azadirachta indica)
28.17,802,18.3,Sandy Loam,7.2,Borewell,Barren,Acacia auriculiformis
77.8,1963,27.5,Loam,7.3,Rain-fed,Fallow,Neem (Azadirachta indica)
76.98,825,23.7,Sandy Loam,6.1,Borewell,Degraded,Acacia auriculiformis
79.07,1198,33.6,Alluvial,6.8,Rain-fed,Fallow,Shisham (Dalbergia sissoo)
42.13,634,19.1,Red,6.1,Rain-fed,Degraded,Karanja (Pongamia pinnata)
83.22,1048,31.7,Loam,6.8,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
96.33,1764,33.1,Clay Loam,7.2,Rain-fed,Degraded,Siris (Albizia lebbeck)
37.21,2483,30.1,Clay Loam,6.3,Borewell,Barren,Siris (Albizia lebbeck)
67.56,1549,21.9,Alluvial,6.6,Borewell,Fallow,Shisham (Dalbergia sissoo)
33.47,745,17.3,Alluvial,6,Borewell,Degraded,Shisham (Dalbergia sissoo)
30.92,1129,29.5,Clay Loam,6.4,Seasonal Canal,Barren,Siris (Albizia lebbeck)
12.5,523,29.4,Sandy Loam,6.1,Borewell,Degraded,Acacia auriculiformis
94.65,582,22.5,Alluvial,7.9,Seasonal Canal,Degraded,Shisham (Dalbergia sissoo)
93.97,685,19.2,Loam,7,Seasonal Canal,Barren,Neem (Azadirachta indica)
85.69,879,20.6,Loam,6.4,Rain-fed,Fallow,Neem (Azadirachta indica)
28.31,1061,31.7,Loam,6.5,Rain-fed,Cultivated,Neem (Azadirachta indica)
6.01,739,17.1,Loam,7.2,Seasonal Canal,Degraded,Neem (Azadirachta indica)
21.51,902,24.8,Alluvial,5.6,Rain-fed,Degraded,Shisham (Dalbergia sissoo)
85.98,601,29.5,Loam,6.4,Rain-fed,Degraded,Neem (Azadirachta indica)
14.05,728,29.6,Black,6.2,Seasonal Canal,Degraded,Teak (Tectona grandis)
74.43,1531,20.2,Red,6,Rain-fed,Barren,Karanja (Pongamia pinnata)
45.75,529,32.1,Sandy,6.5,Borewell,Barren,Khejri (Prosopis cineraria)
7.02,1174,24.3,Loam,6.4,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
90.03,405,23.9,Black,7.8,Seasonal Canal,Degraded,Teak (Tectona grandis)
71.5,464,17.8,Alluvial,7.1,Seasonal Canal,Fallow,Shisham (Dalbergia sissoo)
12.33,558,29.9,Red,5.7,Seasonal Canal,Degraded,Karanja (Pongamia pinnata)
40.47,581,28.7,Loam,6.8,Seasonal Canal,Barren,Neem (Azadirachta indica)
69,887,23.8,Sandy Loam,5.9,Seasonal Canal,Barren,Acacia auriculiformis
74.14,825,15.9,Alluvial,6.8,Rain-fed,Barren,Shisham (Dalbergia sissoo)
41.67,2179,28.4,Red,6.2,Borewell,Barren,Karanja (Pongamia pinnata)
22.06,1614,24.7,Alluvial,6.2,Borewell,Degraded,Shisham (Dalbergia sissoo)
57.84,579,23.5,Clay Loam,6.7,Seasonal Canal,Barren,Siris (Albizia lebbeck)
18.86,2151,29.9,Red,6.9,Seasonal Canal,Fallow,Karanja (Pongamia pinnata)
40.68,456,22.2,Red,5.7,Borewell,Barren,Karanja (Pongamia pinnata)
34.75,782,20.3,Clay Loam,6.7,Seasonal Canal,Fallow,Siris (Albizia lebbeck)
88.45,832,27.3,Loam,6.6,Rain-fed,Degraded,Neem (Azadirachta indica)
42.98,1250,30.1,Sandy Loam,6,Borewell,Cultivated,Acacia auriculiformis
43.56,489,20.6,Loam,7,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
6.42,941,23.7,Clay Loam,6.3,Rain-fed,Fallow,Siris (Albizia lebbeck)
12.88,892,22.9,Loam,6.1,Seasonal Canal,Cultivated,Neem (Azadirachta indica)
56.31,566,22.6,Alluvial,6.9,Seasonal Canal,Fallow,Shisham (Dalbergia sissoo)
46.52,603,23.6,Loam,6.1,Rain-fed,Fallow,Neem (Azadirachta indica)
29.66,1639,28.6,Loam,6.9,Borewell,Barren,Neem (Azadirachta indica)
92.06,625,29.6,Red,6.4,Rain-fed,Cultivated,Karanja (Pongamia pinnata)
