land_area_acres,annual_rainfall_mm,average_temperature_c,soil_type,soil_ph,water_availability,land_status,recommended_crop
44.2,705,19.3,Clay Loam,7.3,Borewell,Barren,Wheat
1.17,645,20.3,Loam,6.1,Borewell,Degraded,Chickpea
62.69,891,20.8,Loam,6.5,Borewell,Barren,Groundnut
40.84,807,24.1,Sandy Loam,6.8,Seasonal Canal,Degraded,Tomato
90.38,715,30.3,Sandy Loam,6.4,Borewell,Fallow,Cotton
43.56,630,28,Black,6.6,Borewell,Fallow,Chickpea
79.58,526,27.7,Sandy Loam,5.9,Seasonal Canal,Degraded,Millet
34.18,1173,24.3,Clay Loam,6.8,Rain-fed,Fallow,Banana
98.41,912,23.8,Black,5.6,Borewell,Barren,Cotton
69.94,512,33.5,Red,6.7,Seasonal Canal,Cultivated,Millet
78.06,575,30.2,Black,5.5,Borewell,Degraded,Cotton
46.19,1030,23.6,Loam,6.6,Seasonal Canal,Fallow,Tomato
83.23,613,32.6,Sandy Loam,7.3,Borewell,Cultivated,Millet
84.15,880,28.3,Loam,6.4,Seasonal Canal,Cultivated,Maize
24.21,1489,24.1,Alluvial,5.7,Seasonal Canal,Fallow,Banana
16.13,641,21.7,Clay Loam,6.3,Rain-fed,Barren,Soybean
21.48,558,22,Black,6.9,Seasonal Canal,Cultivated,Chickpea
38.66,2168,30.4,Sandy Loam,7.2,Rain-fed,Fallow,Turmeric
54.28,1771,25.8,Clay Loam,7.3,Rain-fed,Cultivated,Sugarcane
67.22,639,27.1,Loam,5.6,Seasonal Canal,Degraded,Cotton
59.6,365,34.7,Sandy Loam,6.6,Seasonal Canal,Barren,Millet
5.98,729,19.3,Loam,7.6,Seasonal Canal,Fallow,Wheat
28.55,732,25.6,Loam,7.4,Seasonal Canal,Fallow,Cotton
23.2,640,15.2,Clay Loam,7,Rain-fed,Barren,Wheat
24.62,1153,23.6,Clay,5,Seasonal Canal,Barren,Rice
17.61,2170,23.3,Loam,6.9,Rain-fed,Degraded,Turmeric
68.06,1110,28.7,Alluvial,7.4,Seasonal Canal,Cultivated,Sugarcane
25.04,703,18.9,Red,6.9,Borewell,Fallow,Tomato
78.48,2229,32.1,Clay Loam,7.1,Seasonal Canal,Cultivated,Banana
85.11,1758,21,Loam,6.8,Borewell,Barren,Banana
16.15,535,25.6,Alluvial,7.7,Borewell,Fallow,Chickpea
44.12,2027,33.8,Loam,7,Seasonal Canal,Fallow,Turmeric
25.14,925,34.1,Loam,6.2,Seasonal Canal,Cultivated,Cotton
22,479,25.9,Loam,6,Seasonal Canal,Fallow,Groundnut
2,1901,28.9,Alluvial,7.3,Rain-fed,Barren,Sugarcane
69.37,868,26.7,Black,6.9,Borewell,Cultivated,Cotton
25.09,308,23.2,Red,5.9,Seasonal Canal,Fallow,Millet
55.49,583,28.9,Red,6.4,Seasonal Canal,Cultivated,Millet
32.24,1313,23.8,Loam,6.2,Borewell,Degraded,Sugarcane
97.68,610,31.3,Sandy Loam,6.2,Borewell,Fallow,Cotton
30.92,826,16.9,Loam,6.4,Borewell,Degraded,Wheat
94.46,1046,34.6,Alluvial,6.8,Borewell,Cultivated,Sugarcane
44.61,846,15.1,Clay Loam,6.5,Rain-fed,Barren,Wheat
40.67,1963,32.9,Loam,6.2,Rain-fed,Barren,Sugarcane
99.4,576,27.7,Loam,7.4,Borewell,Cultivated,Maize
38.66,1810,31.9,Sandy Loam,6,Borewell,Fallow,Turmeric
96.05,1639,24.6,Sandy Loam,6.7,Rain-fed,Degraded,Turmeric
18.21,1432,24,Loam,5.7,Rain-fed,Degraded,Banana
4.23,1318,25.6,Clay Loam,6.2,Seasonal Canal,Fallow,Rice
78.99,964,18.9,Sandy Loam,6,Borewell,Degraded,Tomato
82.84,408,24.5,Loam,7.3,Borewell,Barren,Chickpea
92.2,905,21.7,Alluvial,7,Seasonal Canal,Barren,Maize
50.55,652,26,Sandy Loam,6.3,Seasonal Canal,Cultivated,Millet
60.77,706,15.4,Clay Loam,6.8,Rain-fed,Barren,Wheat
95.13,992,30.4,Sandy Loam,7.7,Borewell,Fallow,Cotton
65.5,1241,31.4,Sandy Loam,5.9,Seasonal Canal,Degraded,Turmeric
47.53,1646,29.5,Red,6.5,Borewell,Fallow,Turmeric
50.05,557,30.3,Red,6,Seasonal Canal,Cultivated,Groundnut
12.48,618,25.5,Loam,6.5,Seasonal Canal,Barren,Soybean
36.82,2111,26.9,Clay Loam,5.6,Borewell,Cultivated,Banana
44.37,1108,24.1,Clay Loam,5.3,Borewell,Cultivated,Rice
71.27,414,24.7,Loam,7.1,Seasonal Canal,Barren,Wheat
46.68,808,21.1,Black,7.5,Rain-fed,Degraded,Soybean
83.64,666,25.8,Sandy Loam,6.9,Seasonal Canal,Degraded,Millet
51.32,582,23.9,Red,5.9,Borewell,Barren,Millet
27.45,1791,31.9,Alluvial,6.6,Rain-fed,Fallow,Sugarcane
49.47,805,28,Red,6.7,Rain-fed,Cultivated,Tomato
38.34,847,24.1,Clay Loam,6.8,Seasonal Canal,Degraded,Soybean
5.32,744,24.9,Sandy Loam,6,Borewell,Cultivated,Tomato
98.1,890,22.6,Red,6.8,Seasonal Canal,Barren,Tomato
87.54,757,29.6,Loam,6.2,Seasonal Canal,Barren,Maize
87.22,1066,25.5,Loam,7.1,Rain-fed,Barren,Soybean
40.35,700,34.6,Red,6.2,Rain-fed,Fallow,Millet
88.86,2092,25.7,Clay Loam,6.1,Borewell,Barren,Banana
99.75,1270,23.5,Loam,6.9,Borewell,Barren,Turmeric
44.92,400,27.1,Black,7.4,Seasonal Canal,Fallow,Chickpea
38.11,947,24.6,Clay Loam,5.1,Rain-fed,Degraded,Rice
18.33,810,26.8,Black,7.2,Borewell,Cultivated,Soybean
23.99,1899,23.6,Red,7.3,Seasonal Canal,Cultivated,Turmeric
68.08,1682,20.1,Clay Loam,7.2,Rain-fed,Barren,Sugarcane
69.34,476,34.8,Sandy Loam,6.1,Seasonal Canal,Fallow,Millet
57.62,696,32.9,Loam,5.8,Borewell,Fallow,Cotton
28.17,802,18.3,Sandy Loam,7.2,Borewell,Barren,Tomato
77.8,1963,27.5,Loam,7.3,Rain-fed,Fallow,Turmeric
76.98,825,23.7,Sandy Loam,6.1,Borewell,Degraded,Cotton
79.07,1198,33.6,Alluvial,6.8,Rain-fed,Fallow,Banana
42.13,634,19.1,Red,6.1,Rain-fed,Degraded,Tomato
83.22,1048,31.7,Loam,6.8,Seasonal Canal,Cultivated,Soybean
96.33,1764,33.1,Clay Loam,7.2,Rain-fed,Degraded,Sugarcane
37.21,2483,30.1,Clay Loam,6.3,Borewell,Barren,Banana
67.56,1549,21.9,Alluvial,6.6,Borewell,Fallow,Sugarcane
33.47,745,17.3,Alluvial,6,Borewell,Degraded,Wheat
30.92,1129,29.5,Clay Loam,6.4,Seasonal Canal,Barren,Banana
12.5,523,29.4,Sandy Loam,6.1,Borewell,Degraded,Maize
94.65,582,22.5,Alluvial,7.9,Seasonal Canal,Degraded,Chickpea
93.97,685,19.2,Loam,7,Seasonal Canal,Barren,Chickpea
85.69,879,20.6,Loam,6.4,Rain-fed,Fallow,Tomato
28.31,1061,31.7,Loam,6.5,Rain-fed,Cultivated,Soybean
6.01,739,17.1,Loam,7.2,Seasonal Canal,Degraded,Wheat
21.51,902,24.8,Alluvial,5.6,Rain-fed,Degraded,Maize
85.98,601,29.5,Loam,6.4,Rain-fed,Degraded,Groundnut
14.05,728,29.6,Black,6.2,Seasonal Canal,Degraded,Soybean
74.43,1531,20.2,Red,6,Rain-fed,Barren,Turmeric
45.75,529,32.1,Sandy,6.5,Borewell,Barren,Millet
7.02,1174,24.3,Loam,6.4,Seasonal Canal,Cultivated,Tomato
90.03,405,23.9,Black,7.8,Seasonal Canal,Degraded,Chickpea
71.5,464,17.8,Alluvial,7.1,Seasonal Canal,Fallow,Wheat
12.33,558,29.9,Red,5.7,Seasonal Canal,Degraded,Millet
40.47,581,28.7,Loam,6.8,Seasonal Canal,Barren,Chickpea
69,887,23.8,Sandy Loam,5.9,Seasonal Canal,Barren,Groundnut
74.14,825,15.9,Alluvial,6.8,Rain-fed,Barren,Wheat
41.67,2179,28.4,Red,6.2,Borewell,Barren,Turmeric
22.06,1614,24.7,Alluvial,6.2,Borewell,Degraded,Sugarcane
57.84,579,23.5,Clay Loam,6.7,Seasonal Canal,Barren,Wheat
18.86,2151,29.9,Red,6.9,Seasonal Canal,Fallow,Turmeric
40.68,456,22.2,Red,5.7,Borewell,Barren,Groundnut
34.75,782,20.3,Clay Loam,6.7,Seasonal Canal,Fallow,Wheat
88.45,832,27.3,Loam,6.6,Rain-fed,Degraded,Tomato
42.98,1250,30.1,Sandy Loam,6,Borewell,Cultivated,Turmeric
43.56,489,20.6,Loam,7,Seasonal Canal,Cultivated,Chickpea
6.42,941,23.7,Clay Loam,6.3,Rain-fed,Fallow,Soybean
12.88,892,22.9,Loam,6.1,Seasonal Canal,Cultivated,Cotton
56.31,566,22.6,Alluvial,6.9,Seasonal Canal,Fallow,Maize
46.52,603,23.6,Loam,6.1,Rain-fed,Fallow,Wheat
29.66,1639,28.6,Loam,6.9,Borewell,Barren,Turmeric
92.06,625,29.6,Red,6.4,Rain-fed,Cultivated,Groundnut
